"ref_number","title","raw_text","doi","arxiv_id","year","authors","venue","article_url","has_article_url"
"101","On deep unsupervised active learning","On deep unsupervised active learning C Li H Ma Z Kang Y Yuan X Zhang G Wang Proc. of IJCAI of IJCAI 2020","","","2020","['C Li', 'H Ma', 'Z Kang', 'Y Yuan', 'X Zhang', 'G Wang']","Proc. of IJCAI","",""
"102","Active learning by feature mixing","Active learning by feature mixing A Parvaneh E Abbasnejad D Teney R Haffari A Van Den J Q Hengel Shi Proc. of CVPR of CVPR 2022","","","2022","['A Parvaneh', 'E Abbasnejad', 'D Teney', 'R Haffari', 'A Van Den', 'J Q Hengel', 'Shi']","Proc. of CVPR","",""
"103","Batch multifidelity active learning with budget constraints","Batch multifidelity active learning with budget constraints S Li J M Phillips X Yu R M Kirby S Zhe Proc. of NeurIPS of NeurIPS 2022","","","2022","['S Li', 'J M Phillips', 'X Yu', 'R M Kirby', 'S Zhe']","Proc. of NeurIPS","",""
"104","A novel active learning framework for classification: Using weighted rank aggregation to achieve multiple query criteria","A novel active learning framework for classification: Using weighted rank aggregation to achieve multiple query criteria Y Zhao Z Shi J Zhang D Chen L Gu Pattern Recognit 93 2019","","","2019","['Y Zhao', 'Z Shi', 'J Zhang', 'D Chen', 'L Gu']","Pattern Recognit","",""
"105","Boosting active learning via improving test performance","Boosting active learning via improving test performance T Wang X Li Proc. of AAAI of AAAI 2022","","","2022","['T Wang', 'X Li']","Proc. of AAAI","",""
"106","Active learning of convex halfspaces on graphs","Active learning of convex halfspaces on graphs M Thiessen T Gärtner Proc. of NeurIPS of NeurIPS 2021","","","2021","['M Thiessen', 'T Gärtner']","Proc. of NeurIPS","",""
"107","Making look-ahead active learning strategies feasible with neural tangent kernels","Making look-ahead active learning strategies feasible with neural tangent kernels M A Mohamadi W Bae D J Sutherland Prof. NeurIPS 35 2022","","","2022","['M A Mohamadi', 'W Bae', 'D J Sutherland']","Prof. NeurIPS","",""
"108","Learning loss for active learning","Learning loss for active learning D Yoo I Kweon Proc. of CVPR of CVPR 2019","","","2019","['D Yoo', 'I Kweon']","Proc. of CVPR","",""
"109","Efficient active learning for gaussian process classification by error reduction","Efficient active learning for gaussian process classification by error reduction G Zhao E R Dougherty Proc. of NeurIPS of NeurIPS 2021","","","2021","['G Zhao', 'E R Dougherty']","Proc. of NeurIPS","",""
"110","Learning how to active learn by dreaming","Learning how to active learn by dreaming T Vu M Liu Proc. of ACL of ACL 2019","","","2019","['T Vu', 'M Liu']","Proc. of ACL","",""
"111","Reinforced active learning for low-resource, domain-specific, multi-label text classification","Reinforced active learning for low-resource, domain-specific, multi-label text classification L Wertz J Bogojeska K Mirylenka J Kuhn Findings of ACL 2023","","","2023","['L Wertz', 'J Bogojeska', 'K Mirylenka', 'J Kuhn']","Findings of ACL","",""
"112","The power of ensembles for active learning in image classification","The power of ensembles for active learning in image classification W Beluch T Genewein Proc. of CVPR of CVPR 2018","","","2018","['W Beluch', 'T Genewein']","Proc. of CVPR","",""
"113","Causal-bald: Deep bayesian active learning of outcomes to infer treatment-effects from observational data","Causal-bald: Deep bayesian active learning of outcomes to infer treatment-effects from observational data A Jesson P Tigas Proc. of NeurIPS of NeurIPS 2021","","","2021","['A Jesson', 'P Tigas']","Proc. of NeurIPS","",""
"114","Dual strategy active learning","Dual strategy active learning P Donmez J Carbonell Proc. of ECML of ECML 2007","","","2007","['P Donmez', 'J Carbonell']","Proc. of ECML","",""
